,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
42,Kari Lehtonen,DAL,G,41,1983-11-16,Helsinki,,FIN,FIN,76,209,2002,ATL,1,2,2
43,Curtis McElhinney,"ANA, CGY",G,42,1983-05-23,London,ON,CAN,CAN,74,210,2002,CGY,6,10,176
44,Josh Harding,MIN,G,41,1984-06-18,Regina,SK,CAN,CAN,74,194,2002,MIN,2,8,38
45,Cam Ward,CAR,G,41,1984-02-29,Saskatoon,SK,CAN,CAN,73,194,2002,CAR,1,25,25
46,Wade Dubielewicz,MIN,G,46,1979-01-30,Invermere,BC,CAN,CAN,70,185,-,-,-,-,-
47,Marc-Andre Fleury,PIT,G,40,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
48,Corey Crawford,CHI,G,40,1984-12-31,Montreal,QC,CAN,CAN,74,216,2003,CHI,2,22,52
49,Jimmy Howard,DET,G,41,1984-03-26,Syracuse,NY,USA,USA,73,218,2003,DET,2,34,64
50,Mike Brodeur,OTT,G,42,1983-03-30,Calgary,AB,CAN,CAN,74,185,2003,CHI,7,14,211
51,Matt Zaba,NYR,G,42,1983-07-14,Yorkton,SK,CAN,CAN,73,190,2003,L.A,8,2,231
52,Jaroslav Halak,MTL,G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
53,Brian Elliott,OTT,G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
54,Yann Danis,N.J,G,44,1981-06-21,Lafontaine,QC,CAN,CAN,71,180,-,-,-,-,-
55,Devan Dubnyk,EDM,G,39,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14
56,Cory Schneider,VAN,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
57,Justin Peters,CAR,G,38,1986-08-30,Blyth,ON,CAN,CAN,73,210,2004,CAR,2,8,38
58,Thomas Greiss,S.J,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
59,Anton Khudobin,MIN,G,39,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
60,Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
61,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
62,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
63,Ondrej Pavelec,ATL,G,37,1987-08-31,Kladno,,CZE,CZE,75,212,2005,ATL,2,11,41
64,Jonathan Quick,L.A,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
65,Jeremy Duchesne,PHI,G,38,1986-10-17,Silver Spring,MD,USA,USA,72,201,2005,PHI,4,28,119
66,Niklas Backstrom,MIN,G,47,1978-02-13,Helsinki,,FIN,FIN,74,192,-,-,-,-,-
67,Chad Johnson,NYR,G,39,1986-06-10,Saskatoon,SK,CAN,CAN,75,197,2006,PIT,5,2,125
68,Steve Mason,CBJ,G,37,1988-05-29,Oakville,ON,CAN,CAN,76,188,2006,CBJ,3,6,69
69,Jhonas Enroth,BUF,G,37,1988-06-25,Stockholm,,SWE,SWE,70,175,2006,BUF,2,16,46
70,Jonathan Bernier,L.A,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
71,Semyon Varlamov,WSH,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
72,Michal Neuvirth,WSH,G,37,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34
73,Jonas Hiller,ANA,G,43,1982-02-12,Felben Wellhausen,,CHE,CHE,74,191,-,-,-,-,-
74,Erik Ersberg,L.A,G,43,1982-03-08,Sala,,SWE,SWE,72,165,-,-,-,-,-
75,John Curry,PIT,G,41,1984-02-27,Shorewood,MN,USA,USA,71,185,-,-,-,-,-
76,Matt Climie,DAL,G,42,1983-02-11,Leduc,AB,CAN,CAN,75,194,-,-,-,-,-
77,Antti Niemi,CHI,G,41,1983-08-29,Vantaa,,FIN,FIN,74,209,-,-,-,-,-
78,Dustin Tokarski,T.B,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122
79,Alexander Pechurskiy,PIT,G,35,1990-06-04,Magnitogorsk,,RUS,RUS,72,188,2008,PIT,5,29,150
80,Johan Backlund,PHI,G,44,1981-07-24,Skellefteå,,SWE,SWE,74,198,-,-,-,-,-
81,Alexander Salak,FLA,G,38,1987-01-05,Strakonice,,CZE,CZE,73,189,-,-,-,-,-
82,Jonas Gustavsson,TOR,G,40,1984-10-24,Danderyd,,SWE,SWE,76,201,-,-,-,-,-
