,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position,Last Season,playerStripped
114,Marek Schwarz,STL,G,39,1986-04-01,Mlada Boleslav,,CZE,CZE,72,180,2004,STL,1,17,17,2008-2009,marekschwarz
115,Justin Pogge,TOR,G,39,1986-04-22,Fort McMurray,AB,CAN,CAN,75,197,2004,TOR,3,25,90,2008-2009,justinpogge
116,Matt Keetley,CGY,G,39,1986-04-27,Medicine Hat,AB,CAN,CAN,73,187,2005,CGY,5,33,158,2007-2008,mattkeetley
117,Daniel Taylor,OTT,G,39,1986-04-28,Plymouth,,GBR,GBR,72,198,2004,L.A,7,28,221,2017-2018,dannytaylor
118,Devan Dubnyk,"COL, S.J",G,39,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14,2020-2021,devandubnyk
119,Anton Khudobin,CHI,G,39,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206,2022-2023,antonkhudobin
120,Mark Dekanich,NSH,G,39,1986-05-10,N. Vancouver,BC,CAN,CAN,74,185,2006,NSH,5,23,146,2010-2011,markdekanich
121,Chad Johnson,"ANA, STL",G,39,1986-06-10,Saskatoon,SK,CAN,CAN,75,197,2006,PIT,5,2,125,2018-2019,chadjohnson
122,Karri Ramo,CGY,G,39,1986-07-01,Asikkala,,FIN,FIN,74,206,2004,T.B,6,28,191,2015-2016,karriramo
123,Justin Peters,ARI,G,38,1986-08-30,Blyth,ON,CAN,CAN,73,210,2004,CAR,2,8,38,2016-2017,justinpeters
124,Ben Scrivens,MTL,G,38,1986-09-11,Spruce Grove,AB,CAN,CAN,74,181,-,-,-,-,-,2015-2016,benscrivens
125,Jeremy Duchesne,PHI,G,38,1986-10-17,Silver Spring,MD,USA,USA,72,201,2005,PHI,4,28,119,2009-2010,jeremyduchesne
126,Ben Bishop,DAL,G,38,1986-11-21,Denver,CO,USA,USA,79,210,2005,STL,3,24,85,2019-2020,benbishop
127,Reto Berra,ANA,G,38,1987-01-03,Bulach,,CHE,CHE,76,218,2006,STL,4,13,106,2017-2018,retoberra
128,Alexander Salak,FLA,G,38,1987-01-05,Strakonice,,CZE,CZE,73,189,-,-,-,-,-,2009-2010,alexsalak
129,Brian Foster,FLA,G,38,1987-02-04,Pembroke,NH,USA,USA,74,185,2005,FLA,5,36,161,2011-2012,brianfoster
130,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21,2021-2022,tuukkarask
131,Shawn Hunwick,CBJ,G,38,1987-04-09,Sterling Heights,MI,USA,USA,67,166,-,-,-,-,-,2011-2012,shawnhunwick
132,Jeff Frazee,N.J,G,38,1987-05-13,Edina,MN,USA,USA,72,195,2005,N.J,2,8,38,2012-2013,jefffrazee
133,Jussi Rynnas,DAL,G,38,1987-05-22,Pori,,FIN,FIN,77,210,-,-,-,-,-,2014-2015,jussirynnas
134,Jeff Zatkoff,L.A,G,38,1987-06-09,Detroit,MI,USA,USA,74,186,2006,L.A,3,11,74,2016-2017,jeffzatkoff
135,Cam Talbot,DET,G,38,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-,2025-2026,camtalbot
136,Richard Bachman,VAN,G,38,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,DAL,4,27,120,2018-2019,richardbachman
137,Alex Stalock,CHI,G,38,1987-07-28,St. Paul,MN,USA,USA,71,170,2005,S.J,4,21,112,2022-2023,alexstalock
138,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5,2021-2022,careyprice
139,Ondrej Pavelec,NYR,G,37,1987-08-31,Kladno,,CZE,CZE,75,212,2005,ATL,2,11,41,2017-2018,ondrejpavelec
140,Eddie Lack,"CGY, N.J",G,37,1988-01-05,Norrtälje,,SWE,SWE,76,187,-,-,-,-,-,2017-2018,eddielack
141,Andrew Hammond,"MTL, N.J",G,37,1988-02-11,Surrey,BC,CAN,CAN,74,215,-,-,-,-,-,2021-2022,andrewhammond
142,Riku Helenius,T.B,G,37,1988-03-01,Palkane,,FIN,FIN,75,211,2006,T.B,1,15,15,2008-2009,rikuhelenius
143,James Reimer,"ANA, BUF",G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99,2024-2025,jamesreimer
144,Michal Neuvirth,PHI,G,37,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34,2018-2019,michalneuvirth
145,Leland Irving,CGY,G,37,1988-04-11,Barrhead,AB,CAN,CAN,72,177,2006,CGY,1,26,26,2012-2013,lelandirving
146,Semyon Varlamov,NYI,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23,2024-2025,semyonvarlamov
147,Anders Lindback,ARI,G,37,1988-05-03,Gävle,,SWE,SWE,78,215,2008,NSH,7,26,207,2015-2016,anderslindback
148,Steve Mason,WPG,G,37,1988-05-29,Oakville,ON,CAN,CAN,76,188,2006,CBJ,3,6,69,2017-2018,stevemason
149,Jhonas Enroth,TOR,G,37,1988-06-25,Stockholm,,SWE,SWE,70,175,2006,BUF,2,16,46,2016-2017,jhonasenroth
150,Mikko Koskinen,EDM,G,37,1988-07-18,Vantaa,,FIN,FIN,79,202,2009,NYI,2,1,31,2021-2022,mikkokoskinen
151,Jonathan Bernier,N.J,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11,2021-2022,jonathanbernier
152,Sergei Bobrovsky,FLA,G,37,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-,2025-2026,sergeibobrovsky
153,Calvin Heeter,PHI,G,36,1988-11-02,St. Louis,MO,USA,USA,76,195,-,-,-,-,-,2013-2014,calvinheeter
154,Scott Darling,CAR,G,36,1988-12-22,Newport News,VA,USA,USA,78,226,2007,PHX,6,2,153,2018-2019,scottdarling
155,Mike Murphy,CAR,G,36,1989-01-15,Kingston,ON,CAN,CAN,71,172,2008,CAR,6,14,165,2011-2012,michaelmurphy
156,Jeremy Smith,COL,G,36,1989-04-13,Dearborn,MI,USA,USA,72,177,2007,NSH,2,24,54,2016-2017,jeremysmith
157,Aaron Dell,S.J,G,36,1989-05-04,Airdrie,AB,CAN,CAN,72,213,-,-,-,-,-,2022-2023,aarondell
158,Antti Raanta,CAR,G,36,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-,2023-2024,anttiraanta
159,Allen York,CBJ,G,36,1989-06-17,Wetaskiwin,AB,CAN,CAN,75,188,2007,CBJ,6,7,158,2011-2012,allenyork
160,Keith Kinkaid,"BOS, COL",G,36,1989-07-04,Farmingville,NY,USA,USA,74,195,-,-,-,-,-,2022-2023,keithkinkaid
161,Timo Pielmeier,ANA,G,36,1989-07-07,Deggendorf,,DEU,DEU,71,175,2007,S.J,3,22,83,2010-2011,timopielmeier
162,Troy Grosenick,L.A,G,35,1989-08-27,Brookfield,WI,USA,USA,73,181,-,-,-,-,-,2020-2021,troygrosenick
163,Niklas Svedberg,BOS,G,35,1989-09-04,Sollentuna,,SWE,SWE,73,163,-,-,-,-,-,2014-2015,niklassvedberg
164,Braden Holtby,DAL,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93,2021-2022,bradenholtby
165,Dustin Tokarski,CAR,G,35,1989-09-16,Watson,SK,CAN,CAN,72,198,2008,T.B,5,1,122,2024-2025,dustintokarski
166,Frederik Andersen,CAR,G,36,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87,2025-2026,frederikandersen
167,Tom McCollum,DET,G,35,1989-12-07,Amherst,NY,USA,USA,74,220,2008,DET,1,30,30,2014-2015,tommccollum
168,Harri Sateri,ARI,G,35,1989-12-29,Toijala,,FIN,FIN,73,205,2008,S.J,4,15,106,2021-2022,harrisateri
169,Martin Jones,TOR,G,35,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-,2023-2024,martinjones
170,Jacob Markstrom,N.J,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31,2025-2026,jakemarkstrom
171,Michael Hutchinson,DET,G,35,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77,2023-2024,michaelhutchinson
172,Matt Hackett,BUF,G,35,1990-03-07,London,ON,CAN,CAN,74,179,2009,MIN,3,16,77,2014-2015,matthackett
173,Anders Nilsson,OTT,G,35,1990-03-19,Lulea,,SWE,SWE,78,232,2009,NYI,3,1,62,2019-2020,andersnilsson
174,Joacim Eriksson,VAN,G,35,1990-04-09,Gävle,,SWE,SWE,73,189,2008,PHI,7,15,196,2013-2014,joacimeriksson
175,Kevin Poulin,NYI,G,35,1990-04-12,Montreal,QC,CAN,CAN,74,206,2008,NYI,5,5,126,2014-2015,kevinpoulin
176,Mike Condon,OTT,G,35,1990-04-27,Holliston,MA,USA,USA,74,195,-,-,-,-,-,2018-2019,michaelcondon
177,Connor Knapp,BUF,G,35,1990-05-01,York,NY,USA,USA,78,206,2009,BUF,6,13,164,2013-2014,connorknapp
178,Darcy Kuemper,L.A,G,35,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161,2025-2026,darcykuemper
179,Pavel Francouz,COL,G,35,1990-06-03,Plzen,,CZE,CSK,72,179,-,-,-,-,-,2022-2023,pavelfrancouz
180,Alexander Pechurskiy,PIT,G,35,1990-06-04,Magnitogorsk,,RUS,RUS,72,188,2008,PIT,5,29,150,2009-2010,alexpechurskiy
181,Jake Allen,N.J,G,35,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34,2025-2026,jakeallen
182,Edward Pasquale,T.B,G,34,1990-11-20,Toronto,ON,CAN,CAN,74,215,2009,ATL,4,26,117,2018-2019,edwardpasquale
183,Magnus Hellberg,PIT,G,34,1991-04-04,Uppsala,,SWE,SWE,78,220,2011,NSH,2,8,38,2023-2024,magnushellberg
184,Joni Ortio,CGY,G,34,1991-04-16,Turku,,FIN,FIN,73,190,2009,CGY,6,20,171,2015-2016,joniortio
185,Niklas Treutle,ARI,G,34,1991-04-29,Nuremberg,,DEU,DEU,74,185,-,-,-,-,-,2015-2016,niklastreutle
186,Jean-Francois Berube,NYI,G,34,1991-07-13,Repentigny,QC,CAN,CAN,73,177,2009,L.A,4,4,95,2016-2017,jeanfrancoisberube
187,J-F Berube,CBJ,G,34,1991-07-13,Repentigny,QC,CAN,CAN,73,177,2009,L.A,4,4,95,2021-2022,jfberube
188,Marek Mazanec,NSH,G,34,1991-07-18,Pisek,,CZE,CZE,76,202,2012,NSH,6,28,179,2016-2017,marekmazanec
189,Robin Lehner,VGK,G,34,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46,2021-2022,robinlehner
190,Nathan Lieuwen,BUF,G,34,1991-08-08,Abbotsford,BC,CAN,CAN,77,189,2011,BUF,6,16,167,2013-2014,nathanlieuwen
191,Casey DeSmith,DAL,G,34,1991-08-13,Rochester,NH,USA,USA,72,181,-,-,-,-,-,2024-2025,caseydesmith
192,Jared Coreau,DET,G,33,1991-11-05,Perth,ON,CAN,CAN,78,214,-,-,-,-,-,2017-2018,jaredcoreau
